filename,Y,decade
F/2007_Vermont_Rutland_Rutland_2-03.png,79,7
F/1985_Missouri_Kansas-City_Paseo_3-5.png,57,5
F/1940_Vermont_Rutland_Rutland_1-14.png,12,1
F/1984_New-York_Brooklyn_Samuel-J-Tilden_26-03.png,56,5
F/1935_Pennsylvania_Pittsburgh_Allegheny_29-8.png,7,0
F/2002_California_Brentwood_Liberty-Union_15-16.png,74,7
F/1999_New-York_Brooklyn_Samuel-J-Tilden_f-16-5.png,71,7
F/1955_Virginia_Arlington_Washington-Lee_7-8.png,27,2
F/1942_Missouri_Kansas-City_Paseo_1-19.png,14,1
F/1967_Virginia_Arlington_Washington-Lee_f-20-8.png,39,3
F/1945_Missouri_Kansas-City_Paseo_f-4-6.png,17,1
F/1989_Indiana_Evansville_Harrison_1-11.png,61,6
F/1995_Indiana_Evansville_Harrison_3-32.png,67,6
F/1945_Washington_Concrete_Concrete_0-2.png,17,1
F/1944_Missouri_Kansas-City_Paseo_f-5-14.png,16,1
F/1951_California_Brentwood_Liberty-Union_3-11.png,23,2
F/1999_California_San-Diego_Mission-Bay_2-3.png,71,7
F/1962_North-Carolina_Biscoe_East-Montgomery_3-0.png,34,3
F/1989_Indiana_Evansville_Harrison_4-28.png,61,6
F/1960_Virginia_Arlington_Washington-Lee_14-5.png,32,3
F/1931_Vermont_Rutland_Rutland_10-00.png,3,0
F/1980_California_San-Diego_Mission-Bay_28-7.png,52,5
F/1985_Virginia_Arlington_Washington-Lee_f-25-4.png,57,5
F/1975_Texas_Houston_Milby_9-2.png,47,4
F/2000_Indiana_Evansville_Harrison_14-19.png,72,7
F/1984_New-York_Brooklyn_Samuel-J-Tilden_30-07.png,56,5
F/1936_Missouri_Kansas-City_Paseo_15-14.png,8,0
F/1943_Utah_Millard-County_Topaz-Relocation-Center_7-19.png,15,1
F/1979_New-York_Brooklyn_Samuel-J-Tilden_f-15-5.png,51,5
F/1959_Indiana_Indianapolis_Broad-Ripple_f-12-2.png,31,3
F/1975_Virginia_Arlington_Washington-Lee_f-5-6.png,47,4
F/1981_Missouri_Kansas-City_Paseo_1-15.png,53,5
F/1976_Indiana_Indianapolis_Arsenal-Technical_7-3.png,48,4
F/2001_New-York_Brooklyn_Samuel-J-Tilden_2-0.png,73,7
F/1991_Indiana_Evansville_Harrison_11-22.png,63,6
F/1984_New-York_Brooklyn_Samuel-J-Tilden_22-04.png,56,5
F/1967_Massachusetts_Southbridge_St-Marys_11-3.png,39,3
F/1975_Texas_Houston_Milby_29-13.png,47,4
F/1997_California_Brentwood_Liberty-Union_4-14.png,69,6
F/1944_Texas_Houston_Milby_3-17.png,16,1
F/1970_Missouri_Kansas-City_Paseo_1-5.png,42,4
F/1937_Vermont_Rutland_Rutland_f-0-4.png,9,0
F/1995_Vermont_Rutland_Rutland_2-3.png,67,6
F/1977_Vermont_Rutland_Rutland_9-02.png,49,4
F/1979_Missouri_Kansas-City_Paseo_4-5.png,51,5
F/1969_New-York_Brooklyn_Samuel-J-Tilden_f-5-4.png,41,4
F/1988_Indiana_Evansville_Harrison_3-3.png,60,6
F/1947_Ohio_Cleveland_Collinwood_Jun-f-43-5.png,19,1
F/1943_New-York_Brooklyn_Thomas-Jefferson_f-22-5.png,15,1
F/2009_California_San-Diego_Mission-Bay_13-02.png,81,8
F/1938_New-York_Brooklyn_Samuel-J-Tilden_6-0.png,10,1
F/2009_New-York_Brooklyn_Samuel-J-Tilden_25-0.png,81,8
F/1970_Michigan_Charlevoix_Charlevoix_f-11-1.png,42,4
F/1981_Vermont_Rutland_Rutland_9-8.png,53,5
F/1965_Virginia_Arlington_Washington-Lee_15-3.png,37,3
F/2000_Indiana_Evansville_Harrison_7-13.png,72,7
F/1938_New-York_Brooklyn_Samuel-J-Tilden_f-5-5.png,10,1
F/1958_North-Carolina_Mayodan_Maydoan_4-3.png,30,3
F/1987_Virginia_Arlington_Washington-Lee_8-6.png,59,5
F/1984_New-York_Brooklyn_Samuel-J-Tilden_4-01.png,56,5
F/2010_California_San-Diego_Mission-Bay_0-09.png,82,8
F/1982_Virginia_Arlington_Washington-Lee_29-4.png,54,5
F/1995_Massachusetts_Southbridge_Southbridge_1-6.png,67,6
F/1984_California_Grass-Valley_Nevada-Union_9-15.png,56,5
F/1997_California_Brentwood_Liberty-Union_27-12.png,69,6
F/1974_Vermont_Rutland_Rutland_11-2.png,46,4
F/1987_Virginia_Arlington_Washington-Lee_1-8.png,59,5
F/1988_Indiana_Evansville_Harrison_1-16.png,60,6
F/1965_Alabama_Huntsville_Lee_f-104.png,37,3
F/2002_New-York_Brooklyn_Samuel-J-TIlden_f-25-1.png,74,7
F/1955_Virginia_Arlington_Washington-Lee_14-7.png,27,2
F/1976_Indiana_Indianapolis_Arsenal-Technical_4-8.png,48,4
F/1963_Massachusetts_Southbridge_Southbridge_15-7.png,35,3
F/2010_Kansas_Kansas-City_Schlagle_f-6-27.png,82,8
F/1974_Missouri_Kansas-City_Paseo_8-1.png,46,4
F/1984_Texas_Houston_Milby_20-16.png,56,5
F/1970_Virginia_Arlington_Washington-Lee_20-4.png,42,4
F/2010_California_San-Diego_Mission-Bay_7-011.png,82,8
F/1935_Pennsylvania_Pittsburgh_Allegheny_18-1.png,7,0
F/1979_New-York_Brooklyn_Samuel-J-Tilden_f-17-6.png,51,5
F/1977_Missouri_Kansas-City_Paseo_2-03.png,49,4
F/1945_New-York_Brooklyn_Samuel-J-Tilden_f-66-5.png,17,1
F/1949_Missouri_Kansas-City_Paseo_f-2-5.png,21,2
F/1948_Vermont_Rutland_Rutland_1-16.png,20,2
F/1998_California_Brentwood_Liberty-Union_22-5.png,70,7
F/1994_Indiana_Evansville_Harrison_8-18.png,66,6
F/1928_New-York_Brooklyn_Thomas-Jefferson_62-4.png,0,0
